i train dev test
0 0.572282 0.585376 0.669962
1 0.506473 0.555754 0.691928
2 0.48263 0.543856 0.700165
3 0.465293 0.53995 0.697968
4 0.453505 0.533434 0.713344
5 0.442882 0.52909 0.712246
6 0.430254 0.526666 0.71609
7 0.421124 0.52551 0.720483
8 0.414265 0.523686 0.725975
9 0.40704 0.521151 0.727073
10 0.401333 0.524767 0.72872
11 0.39629 0.522517 0.733663
12 0.38936 0.525362 0.738605
13 0.384315 0.521339 0.736409
14 0.378764 0.519535 0.738605
15 0.374072 0.51911 0.73531
16 0.368657 0.518163 0.737507
17 0.364451 0.514271 0.744646
18 0.357765 0.510575 0.746842
19 0.353011 0.511623 0.742449
20 0.348685 0.51555 0.747392
21 0.345797 0.514683 0.74849
22 0.340821 0.515291 0.751785
23 0.339394 0.515226 0.746842
24 0.334846 0.515901 0.751785
25 0.333871 0.515457 0.755629
26 0.329457 0.518581 0.755629
27 0.3258 0.519618 0.75508
28 0.324177 0.521696 0.760022
29 0.319613 0.524667 0.762219
30 0.31727 0.526456 0.766063
31 0.315694 0.53428 0.764964
32 0.312711 0.538591 0.766612
33 0.310575 0.542676 0.763317
34 0.308404 0.551019 0.76771
35 0.306351 0.552022 0.764964
36 0.304019 0.559769 0.765513
37 0.30132 0.56983 0.76771
38 0.299275 0.577441 0.766612
39 0.297431 0.580389 0.765513
40 0.294752 0.583722 0.765513
41 0.293706 0.585775 0.769357
42 0.291112 0.586983 0.768808
43 0.289373 0.58845 0.769907
44 0.288719 0.591009 0.769357
45 0.286117 0.590219 0.764964
46 0.286452 0.592253 0.766612
47 0.284151 0.595768 0.76771
48 0.282039 0.599684 0.76771
49 0.279973 0.604645 0.766612
50 0.278287 0.607932 0.769357
51 0.277036 0.608273 0.76771
52 0.276248 0.613585 0.771005
53 0.273901 0.614337 0.772652
54 0.272844 0.61413 0.771554
55 0.272542 0.616853 0.769907
56 0.271685 0.618983 0.768259
57 0.270439 0.622866 0.771554
58 0.269229 0.622605 0.768808
59 0.26651 0.625287 0.771005
60 0.265893 0.627924 0.771554
61 0.264542 0.61759 0.769907
62 0.263961 0.623769 0.770456
63 0.260401 0.627598 0.771005
64 0.258612 0.632752 0.773202
65 0.258281 0.635534 0.772652
66 0.257059 0.640623 0.772652
67 0.255984 0.644585 0.771554
68 0.255044 0.651681 0.772652
69 0.255724 0.651869 0.775947
70 0.253032 0.651136 0.771554
71 0.25165 0.653976 0.775398
72 0.251232 0.655182 0.7743
73 0.250061 0.657497 0.769357
74 0.248246 0.658397 0.773751
75 0.24685 0.662006 0.771554
76 0.247737 0.664371 0.772103
77 0.246186 0.66914 0.770456
78 0.244669 0.673142 0.772652
79 0.243738 0.672135 0.775947
80 0.242527 0.673033 0.772652
81 0.241831 0.677589 0.7743
82 0.240779 0.6796 0.776496
83 0.24028 0.681121 0.775398
84 0.239069 0.684752 0.773751
85 0.238131 0.684963 0.774849
86 0.238389 0.68881 0.774849
87 0.236542 0.691653 0.771554
88 0.236953 0.68712 0.775947
89 0.23468 0.692999 0.771005
90 0.233672 0.693748 0.773202
91 0.232452 0.695515 0.771554
92 0.231333 0.69624 0.773202
93 0.232852 0.701363 0.7743
94 0.23078 0.703787 0.773202
95 0.230206 0.705701 0.771005
96 0.229577 0.706949 0.771554
97 0.227824 0.71203 0.771005
98 0.22785 0.713519 0.7743
99 0.227198 0.712843 0.773751
