i train dev test
0 0.692381 0.69222 0.511807
1 0.690677 0.690858 0.513454
2 0.688093 0.688673 0.517847
3 0.683689 0.684823 0.521142
4 0.67627 0.678125 0.531027
5 0.6646 0.665738 0.551345
6 0.647326 0.644934 0.570566
7 0.622557 0.617684 0.589237
8 0.597971 0.597968 0.605711
9 0.572395 0.580972 0.626579
10 0.546386 0.565716 0.657331
11 0.519287 0.55291 0.680395
12 0.491951 0.540643 0.710049
13 0.465579 0.530313 0.734212
14 0.440488 0.523972 0.7419
15 0.4167 0.517588 0.753981
16 0.395699 0.512735 0.756178
17 0.375395 0.511403 0.760571
18 0.356653 0.512026 0.764964
19 0.340809 0.513245 0.772103
20 0.325523 0.51196 0.774849
21 0.311486 0.509707 0.778144
22 0.297731 0.513219 0.784185
23 0.285868 0.509341 0.781439
24 0.275433 0.506049 0.784734
25 0.265594 0.509303 0.789127
26 0.256436 0.511547 0.79352
27 0.247217 0.512595 0.791873
28 0.240064 0.512275 0.785283
29 0.232196 0.509857 0.791323
30 0.22427 0.519841 0.787479
31 0.219301 0.515616 0.78693
32 0.21165 0.515501 0.790774
33 0.207046 0.51926 0.791323
34 0.201358 0.525041 0.790774
35 0.19653 0.524244 0.787479
36 0.190835 0.523028 0.791323
37 0.185712 0.530205 0.784185
38 0.181201 0.535191 0.786381
39 0.177918 0.532407 0.78693
40 0.173178 0.537575 0.783086
41 0.170573 0.541842 0.783635
42 0.166377 0.539387 0.786381
43 0.162574 0.544395 0.789676
44 0.160069 0.545965 0.788029
45 0.156848 0.549843 0.790225
46 0.153495 0.553823 0.788029
47 0.150841 0.557106 0.790225
48 0.147578 0.568334 0.790225
49 0.146231 0.569301 0.784185
50 0.144227 0.553043 0.783086
51 0.14117 0.564481 0.787479
52 0.138149 0.570393 0.786381
53 0.135813 0.577334 0.786381
54 0.133321 0.586634 0.783086
55 0.131827 0.593324 0.784734
56 0.130406 0.584171 0.785832
57 0.128586 0.591576 0.784734
58 0.126539 0.601443 0.784734
59 0.125668 0.617612 0.784185
60 0.122905 0.602067 0.787479
61 0.124058 0.611985 0.784734
62 0.119631 0.623236 0.784185
63 0.118698 0.627712 0.782537
64 0.116252 0.626112 0.779242
65 0.115217 0.623915 0.782537
66 0.114318 0.62957 0.781439
67 0.112389 0.630447 0.783635
68 0.112097 0.634682 0.787479
69 0.11046 0.639968 0.783086
70 0.110113 0.657359 0.781988
71 0.108022 0.65668 0.78034
72 0.107092 0.657358 0.778144
73 0.106086 0.657308 0.781988
74 0.105158 0.671027 0.781439
75 0.103743 0.676698 0.781988
76 0.104257 0.667661 0.784185
77 0.101591 0.679658 0.781439
78 0.10365 0.641009 0.78089
79 0.102372 0.665412 0.782537
80 0.100284 0.669669 0.778144
81 0.09922 0.680522 0.781439
82 0.0977 0.679773 0.782537
83 0.096644 0.709206 0.78034
84 0.096617 0.707478 0.778144
85 0.096688 0.703157 0.782537
86 0.095007 0.70667 0.776496
87 0.093826 0.710499 0.779791
88 0.093198 0.724257 0.779791
89 0.092474 0.734278 0.781439
90 0.092476 0.738115 0.779791
91 0.091986 0.735153 0.779242
92 0.091123 0.728755 0.777595
93 0.091357 0.742076 0.777595
94 0.089813 0.743982 0.774849
95 0.088313 0.747344 0.78089
96 0.087471 0.738081 0.78089
97 0.087613 0.742188 0.776496
98 0.087097 0.754806 0.776496
99 0.086926 0.755846 0.781988
