/Library/Frameworks/Python.framework/Versions/3.5/bin/python3 /Users/harper/IdeaProjects/TTIC31210/hw2/lm_hingeloss.py
Initial dev accuracy 0.0005, test accuracy 0.0001
Epoch 54, time 25 secs, train loss 10.3665, train accuracy 0.5687, dev accuracy 0.2932, test accuracy 0.2927
Epoch 55, time 23 secs, train loss 10.2632, train accuracy 0.5813, dev accuracy 0.3117, test accuracy 0.3028
Epoch 56, time 24 secs, train loss 10.2303, train accuracy 0.5806, dev accuracy 0.2932, test accuracy 0.2932
Epoch 57, time 23 secs, train loss 10.0951, train accuracy 0.5976, dev accuracy 0.3110, test accuracy 0.3036
Epoch 58, time 23 secs, train loss 10.0377, train accuracy 0.6029, dev accuracy 0.3087, test accuracy 0.3026
Epoch 59, time 23 secs, train loss 9.9758, train accuracy 0.6041, dev accuracy 0.3124, test accuracy 0.3067
Epoch 60, time 24 secs, train loss 9.8738, train accuracy 0.6162, dev accuracy 0.3074, test accuracy 0.3012
Epoch 61, time 24 secs, train loss 9.8491, train accuracy 0.6245, dev accuracy 0.3128, test accuracy 0.3082
Epoch 62, time 24 secs, train loss 9.8091, train accuracy 0.6309, dev accuracy 0.3031, test accuracy 0.2967
Epoch 63, time 25 secs, train loss 9.7221, train accuracy 0.6382, dev accuracy 0.3124, test accuracy 0.3026
Epoch 64, time 25 secs, train loss 9.6711, train accuracy 0.6459, dev accuracy 0.2951, test accuracy 0.2920
Epoch 65, time 25 secs, train loss 9.6408, train accuracy 0.6501, dev accuracy 0.2962, test accuracy 0.2909
Epoch 66, time 25 secs, train loss 9.5991, train accuracy 0.6542, dev accuracy 0.3097, test accuracy 0.3017
Epoch 67, time 26 secs, train loss 9.5641, train accuracy 0.6583, dev accuracy 0.2904, test accuracy 0.2851
Epoch 68, time 25 secs, train loss 9.5474, train accuracy 0.6661, dev accuracy 0.3075, test accuracy 0.2987
Epoch 69, time 22 secs, train loss 9.5214, train accuracy 0.6709, dev accuracy 0.3053, test accuracy 0.2993
Epoch 70, time 22 secs, train loss 9.4390, train accuracy 0.6790, dev accuracy 0.3011, test accuracy 0.2974
Epoch 71, time 26 secs, train loss 9.3949, train accuracy 0.6851, dev accuracy 0.3077, test accuracy 0.3013
Epoch 72, time 29 secs, train loss 9.3863, train accuracy 0.6856, dev accuracy 0.2927, test accuracy 0.2818
Epoch 73, time 25 secs, train loss 9.3444, train accuracy 0.6907, dev accuracy 0.2987, test accuracy 0.2901
Epoch 74, time 24 secs, train loss 9.2983, train accuracy 0.6942, dev accuracy 0.2946, test accuracy 0.2850
Epoch 75, time 24 secs, train loss 9.3098, train accuracy 0.6978, dev accuracy 0.3025, test accuracy 0.2947
Epoch 76, time 25 secs, train loss 9.2845, train accuracy 0.7006, dev accuracy 0.2979, test accuracy 0.2931
Epoch 77, time 25 secs, train loss 9.2167, train accuracy 0.7064, dev accuracy 0.2943, test accuracy 0.2914
Epoch 78, time 24 secs, train loss 9.1970, train accuracy 0.7129, dev accuracy 0.2981, test accuracy 0.2917
Epoch 79, time 24 secs, train loss 9.2036, train accuracy 0.7145, dev accuracy 0.2919, test accuracy 0.2838
