epoch,train_loss,train_acc,dev_acc,test_acc
0,220636.6550,0.1164,0.2042,0.2019
1,131146.0628,0.1774,0.1903,0.1961
2,101208.4843,0.2013,0.2248,0.2268
3,83591.6529,0.2119,0.1998,0.2051
4,68481.1477,0.1921,0.1932,0.1956
5,61968.1032,0.2010,0.2002,0.1988
6,57127.6066,0.2086,0.2281,0.2301
7,45293.9022,0.2225,0.2252,0.2248
8,47930.8595,0.2253,0.2277,0.2308
9,37196.2459,0.2266,0.2407,0.2373
10,41201.8565,0.2424,0.2521,0.2536
11,35999.8718,0.2468,0.2515,0.2508
12,35919.2014,0.2422,0.2512,0.2516
13,31236.7984,0.2505,0.2292,0.2270
14,29761.7201,0.2406,0.2471,0.2458
15,26801.2880,0.2479,0.2505,0.2533
16,24260.4987,0.2520,0.2522,0.2519
17,24571.7284,0.2367,0.2397,0.2407
18,21235.8501,0.2526,0.2600,0.2603
19,24856.1455,0.2578,0.2537,0.2530
20,22239.6054,0.2584,0.2635,0.2641
21,20636.4832,0.2597,0.2643,0.2613
22,20307.2277,0.2632,0.2710,0.2634
23,20024.7685,0.2557,0.2756,0.2705
24,19018.3209,0.2749,0.2835,0.2817
25,19471.3694,0.2801,0.2781,0.2712
26,19740.3311,0.2732,0.2723,0.2681
27,17507.7935,0.2822,0.2835,0.2781
28,16016.4786,0.2830,0.2830,0.2746
29,16286.9267,0.2829,0.2781,0.2768
30,16669.6383,0.2914,0.2814,0.2802
31,13554.6217,0.2804,0.2791,0.2747
32,16346.6188,0.2866,0.2823,0.2768
33,15853.5381,0.2857,0.2672,0.2673
34,13673.3514,0.2815,0.2677,0.2633
35,14091.6570,0.2785,0.2586,0.2524
36,12315.0480,0.2634,0.2625,0.2598
37,13716.1748,0.2714,0.2593,0.2586
38,13381.1016,0.2748,0.2764,0.2708
39,12109.3419,0.2943,0.2867,0.2801
40,11096.7462,0.2919,0.2811,0.2758
41,11902.8502,0.2898,0.2839,0.2840
42,13016.5110,0.2898,0.2726,0.2715
43,11751.8820,0.2984,0.2830,0.2870
44,11421.2543,0.3045,0.2933,0.2911
45,10083.5655,0.3064,0.2909,0.2920
46,9841.9064,0.3077,0.2906,0.2897
47,11210.6123,0.3034,0.2921,0.2851
48,10047.1039,0.3055,0.2821,0.2760
49,10355.6539,0.3017,0.2775,0.2722
50,10735.5925,0.2916,0.2862,0.2753
51,9984.8061,0.3062,0.2755,0.2696
52,9546.2544,0.3105,0.2927,0.2878
53,9468.1409,0.3187,0.2884,0.2844
54,9912.4445,0.3083,0.2912,0.2812
55,9672.8296,0.3199,0.2777,0.2732
56,9119.0538,0.3157,0.2868,0.2848
57,8810.5261,0.3172,0.2864,0.2854
58,9201.3159,0.3134,0.2757,0.2719
59,9100.2013,0.3191,0.2888,0.2917
60,8255.3695,0.3238,0.2854,0.2876
61,8872.6206,0.3176,0.2803,0.2799
62,8991.1846,0.3230,0.2891,0.2863
63,8440.6712,0.3298,0.2911,0.2879
64,7634.4822,0.3325,0.2914,0.2854
65,8217.3758,0.3318,0.2823,0.2819
66,7914.4050,0.3338,0.2780,0.2768
67,8246.9452,0.3385,0.2886,0.2844
68,8118.7160,0.3353,0.2801,0.2736
69,7561.2543,0.3378,0.2914,0.2895
70,7902.8001,0.3444,0.2874,0.2833
71,8336.0338,0.3444,0.2891,0.2851
72,8104.1200,0.3372,0.2951,0.2897
73,7089.6001,0.3472,0.2840,0.2812
74,7027.5842,0.3365,0.2765,0.2744
75,6696.7349,0.3465,0.2836,0.2803
76,7369.9802,0.3495,0.2896,0.2880
77,7010.6208,0.3529,0.2912,0.2881
78,5808.0239,0.3591,0.2980,0.2952
79,8143.5483,0.3547,0.2867,0.2856
80,6962.1319,0.3551,0.2879,0.2876
81,7620.2070,0.3552,0.2962,0.2890
82,6168.3277,0.3584,0.3000,0.2892
83,6245.1592,0.3655,0.3036,0.3005
84,7131.8336,0.3658,0.3015,0.2967
85,7964.8753,0.3649,0.2962,0.2937
86,7639.0858,0.3655,0.2946,0.2873
87,6253.7772,0.3696,0.2957,0.2948
88,6934.1620,0.3759,0.2948,0.2952
89,6478.1126,0.3715,0.2977,0.2945
90,6649.0777,0.3710,0.2991,0.2874
91,7178.1206,0.3735,0.2839,0.2777
92,6859.7377,0.3821,0.3001,0.2957
93,5142.2227,0.3817,0.2956,0.2885
94,7014.9708,0.3830,0.2896,0.2900
95,5781.1280,0.3753,0.2854,0.2834
96,6765.5326,0.3787,0.2962,0.2927
97,5518.8321,0.3892,0.2986,0.2949
98,5805.7098,0.3878,0.2831,0.2797
99,6531.8955,0.3866,0.2908,0.2878
