epoch,wall_clock,train_time,train_loss,train_acc,dev_loss,dev_acc,test_acc
0,11,10,31.8917,0.1519,18.5730,0.1342,0.1299
1,23,10,16.7104,0.1850,15.1575,0.2247,0.2268
2,34,10,12.8748,0.2223,12.4758,0.2251,0.2276
3,46,10,9.7485,0.2313,11.0028,0.2289,0.2329
4,57,10,8.1415,0.2410,10.2283,0.2536,0.2571
5,69,10,7.2025,0.2527,9.8578,0.2444,0.2545
6,80,10,6.3664,0.2531,10.4341,0.2647,0.2614
7,92,10,5.7289,0.2594,9.7833,0.2686,0.2694
8,103,10,5.2033,0.2637,9.3124,0.2664,0.2709
9,115,10,4.7995,0.2664,9.1236,0.2722,0.2659
10,126,10,4.4540,0.2569,9.5004,0.2525,0.2565
11,138,10,3.9275,0.2681,9.4926,0.2721,0.2690
12,149,10,3.7551,0.2736,9.4842,0.2838,0.2792
13,161,10,3.4145,0.2802,9.2410,0.2863,0.2835
14,172,10,3.2502,0.2733,9.3881,0.2813,0.2755
15,184,10,3.0312,0.2787,9.0835,0.2800,0.2755
16,195,10,2.8922,0.2799,9.3671,0.2814,0.2793
17,207,10,2.7532,0.2866,9.4667,0.2898,0.2832
18,218,10,2.6590,0.2894,9.2198,0.2818,0.2794
19,229,10,2.3882,0.2895,8.7689,0.2903,0.2844
20,241,10,2.3971,0.2886,8.9873,0.2936,0.2875
21,252,10,2.2388,0.2924,8.7771,0.2955,0.2853
22,264,10,2.0903,0.2970,9.0962,0.2899,0.2854
23,275,10,2.0002,0.2930,9.2883,0.2879,0.2828
24,287,10,2.0142,0.2984,9.2835,0.2893,0.2854
25,298,10,1.9347,0.3043,9.1704,0.2829,0.2801
26,310,10,1.7593,0.3029,9.3225,0.2987,0.2923
27,321,10,1.6927,0.3103,9.4590,0.3033,0.2974
28,333,10,1.5937,0.3127,9.4900,0.2994,0.2981
29,344,10,1.5314,0.3131,9.4986,0.3020,0.2997
30,355,10,1.5091,0.3125,9.6340,0.2899,0.2899
31,367,10,1.5169,0.3123,9.4979,0.2963,0.2938
32,378,10,1.4455,0.3159,9.6380,0.2865,0.2907
33,390,10,1.4794,0.3136,9.5551,0.2901,0.2920
34,401,10,1.4115,0.3264,9.9726,0.3059,0.3028
35,413,10,1.3705,0.3310,9.6125,0.3022,0.2947
36,424,10,1.2805,0.3314,9.6669,0.3064,0.3041
37,436,10,1.2906,0.3371,10.0747,0.3004,0.3025
38,447,10,1.2314,0.3364,9.7786,0.3090,0.3009
39,459,10,1.1988,0.3411,9.6147,0.2986,0.2981
40,470,10,1.1890,0.3460,9.8393,0.3053,0.2981
41,481,10,1.1491,0.3465,9.9290,0.3072,0.2989
42,493,10,1.1000,0.3543,10.0598,0.3066,0.3010
43,504,10,1.1078,0.3587,10.0093,0.3084,0.3036
44,516,10,1.0489,0.3596,10.0958,0.3075,0.3004
45,527,10,1.0239,0.3654,10.1392,0.3068,0.3003
46,539,10,0.9941,0.3609,10.4705,0.3011,0.2984
47,550,10,1.0187,0.3690,10.2601,0.2961,0.2952
48,561,10,1.0505,0.3757,10.3806,0.2975,0.2969
49,573,10,0.9824,0.3775,10.3730,0.3044,0.2989
